title,price,unit,description
,"
	2.29
	","
600 g",Goed Getest volgens het Algemeen Dagblad mei 2019. 600 g.
,"
	1.89
	","
600-g",Een traktatie op de boterham of als decoratie op desserts of gebak.
,"
	1.69
	","
400-g",Speculoos boterhampasta. In een klassieke en crunchy variant.
,"
	1.83
	","
350-g","Alleen pinda's... niets meer, niets minder! Keuze uit fijn en grof."
,"
	2.09
	","
600 g",Extra smeuïge pindakaas. Met 85% pinda's.
,"
	1.69
	","
350 g",Goed Getest volgens het Algemeen Dagblad mei 2019.
,"
	1.49
	","
350-g",Extra smeuïge pindakaas. Met 85% pinda's.
,"
	1.47
	","
400-g","Heerlijk smueïge chocolade pasta. In melk, pure of witte chocola. "
,"
	2.49
	","
750-g",Bruine en witte pasta in één pot voor op de boterham. Met 6% hazelnoten. 
,"
	1.59
	","
310 g","Door het gebruik van meer fruit, in combinatie met minder suiker en een korte inkooktijd, ontstaat er een pure fruitsmaak. Bevat 30% minder suiker dan traditionele jam. In de smaken aardbei en abrikoos."
,"
	1.75
	","
310 -g","Door het gebruik van meer fruit, in combinatie met minder suiker en een korte inkooktijd, ontstaat er een pure fruitsmaak. Bevat 30% minder suiker dan traditionele jam. "
,"
	1.22
	","
325-g",Keuze uit rozijnen en naturel. 5 stuks.
,"
	0.99
	","
450-g",Heerlijke zoete bosvruchten- of kersenjam. Met 50% fruit.
,"
	1.55
	","
475-g",Zero suiker toegevoegd. Gesneden. 
,"
	0.99
	","
450 g",Heerlijke zoete viervruchten- of abrikozenjam. Met 50% fruit.
,"
	0.69
	","
550-g","Vezelrijke ontbijtkoek, ideaal voor bij het ontbijt maar ook als tussendoortje."
,"
	1.19
	","
262 g","Keuze uit krenten &amp; rozijnen, appel en bosvruchten."
,"
	1.25
	","
5 stuks",Per stuk verpakt. 
,"
	1.22
	","
275-g",Ontbijtkoek repen per 5 stuks verpakt. Lekker op elk moment van de dag. 
,"
	1.64
	","
450-465 g",Rijkgevulde luxe ontbijtkoek in de varianten rozijnen en appel &amp; kaneel.
,"
	0.99
	","
200-g",8 repen. Keuze uit:
,"
	1.29
	","
210-g",Keuze uit stevige havermoutrepen en granenrepen met stukjes cranberry. 9 repen.
,"
	1.29
	","
245-g","Krokante tarwe biscuits, vol melk en rijk aan calcium. Keuze uit aardbeien of melk. Met 40% vulling. 6x2 stuks. "
,"
	1.94
	","
320-g","Italiaans dessert met savoiardo biscuit, oploskoffie, mascarpone en cacaobereiding. Bevat 1.8 % alcohol. 4 porties."
,"
	0.39
	","
200-g",Rijstdessert met vanillesmaak.
,"
	1.19
	","
360-g",Luchtig chocoladetoetje. 4 porties.
,"
	0.50
	","
200-g",Keuze uit:
,"
	1.49
	","
1-kg","Volle romige yoghurt. Keuze uit aardbei, stracciatella en perzik-passievrucht."
,"
	0.99
	","
1-l",1 l.
,"
	0.99
	","
1-l",Chocolade-vanille smaak.
,"
	2.49
	","
250-g","Ongezouten, 83% vet."
,"
	1.99
	","
250-g",Ongezout.
,"
	0.98
	","
450-g", Met 50% fruit. 
,"
	1.25
	","
500-g","Knapperige cornflakes. Heerlijk met melk, yogurt of kwark. Begin de dag vol energie. "
,"
	1.59
	","
425 g","Keuze uit rood fruit, original en pure chocolade. Bomvol granen. Rijk aan 8 vitaminen en ijzer."
,"
	2.24
	","
900-g",Heerlijk krokante muesli. In de varianten appel-rozijn en rozijn. 
,"
	2.99
	","
900-g",Heerlijk krokante muesli met vier verschillende noten. Vezelrijk en zoutarm. 
,"
	2.76
	","
900-g",Heerlijk krokante muesli met chocolade. Vezelrijk en zoutarm. 
,"
	1.89
	","
1-kg",Volkoren muesli. In de varianten vruchten of druiven-noten.
,"
	1.47
	","
335-g",Verpakt per 2 stuks. 9x2 stuks. Keuze uit:
,"
	0.39
	","
130 g","Heerlijk luchtige en knapperige rijstwafels, gepoft voor ieder moment van de dag."
,"
	0.79
	","
150-g",Roomboter bladerdeeg stengels met kaas of zout. 
,"
	1.43
	","
145-g",Hartige rijstwafels met paprikasmaak of kaassmaak.
,"
	2.49
	","
50-ml",Verzorgende aqua-complete nachtcrème voor alle huidtypes of aqua-complete hydraterende crème voor alle huidtypes.
,"
	0.95
	","
150 g","Rijstwafels met een laagje melk of pure chocolade, lekker voor tussendoor."
,"
	0.92
	","
250-g",Kraakverse rijstzoutjes. Droog geroosterd volgens origineel recept.  
,"
	1.19
	","
150-175-g","Knapperige rijstzoutjes. Keuze uit hot krokantjes, Japanse bollenmix en oriental mix."
,"
	2.25
	","
300-g",Mix van rijstzoutjes en gecoate pinda’s. Lekker voor bij de borrel.
,"
	2.79
	","
750 ml","Makkelijk, snel en lekker alternatief voor een zelfgemaakte smoothie. Keuze uit:"
,"
	1.49
	","
250-ml","Keuze uit boerenkool-venkel-avocado-broccoli, wortel-mango-pastinaak en rode biet-wortel-mango."
,"
	1.69
	","
500-ml","Keuze uit sinaasappel-aardbei, ananas-meloen-mango, appel-peer-framboos en sinaasappel-kiwi."
,"
	0.46
	","
250-g",Met grof zeezout.
,"
	1.99
	","
750-ml","Vandaag geperst, morgen in jouw koelkast. Zonder toevoegingen, verser en gemakkelijker kan niet."
,"
	1.05
	","
1.5-l","Licht sprankelende fruitdrank. 6-pack. Keuze uit appel&amp;perzik, witte druiven&amp;citroen en rood fruit&amp;cranberry."
,"
	1.08
	","
6 x 0.2 l",6-pack.
,"
	0.49
	","
0.25-l",Keuze uit de smaken Cola Engery en Oranje.
,"
	0.45
	","
0,25-l",0.25 l.
,"
	1.49
	","
1.98-l",6 x 33 cl.
,"
	1.49
	","
1.98-l",6 x 33 cl.
,"
	1.49
	","
6 x 33 cl",6 blikjes. 
,"
	1.69
	","
1.98 l",6 x 33 cl.
,,"
0.25 l",<b>Red Bull                                </b>
,,"
Per stuk",250 ml.
,"
	1.99
	","
6 x 0.5 l",Keuze uit Orange en Blue. Rijk aan vitamines. 6 x 0.5 l.
,"
	1.99
	","
6 x 0.5 l","Keuze uit ice tea perzik, lemon en green."
,,"
1.5 l", Keuze uit Sparkling Lemon of Green.
,,"
1.5 l",<b>Sprite of Fanta                         </b>
,,"
4 x 1.75-l",<b>Coca Cola                    </b>
,"
	1.69
	","
1-l",Keuze uit:
,"
	0.79
	","
1.5-l ",Regular of zero.
,"
	1.19
	","
1.5-l",12-vruchten nectar.
,"
	0.99
	","
1.5-l","Keuze uit sinaasappel, appel en multivitamine."
,"
	1.43
	","
1,5-l",100% sap.
,"
	1.29
	","
1.5-l",100% sap.
,"
	1.89
	","
2-l","Kinderlimonade in de smaken fruitmix, appel-framboos en appel-aardbei. 10-pack."
,"
	2.19
	","
0.75-l",Keuze uit perzik en citroen.
,"
	1.19
	","
0,75-l",Met 37% vruchtensap en toegevoegde vitamine E.
,"
	2.19
	","
0.75 l",Met 75% vruchtensap. Keuze uit grenadine en sinaasappel. Grenadine siroop is Best Getest volgens De Limburger juli 2020.
,"
	0.39
	","
1.5-l",Koolzuurvrij.
,"
	0.39
	","
1.5-l",1.5 l.
,"
	1.99
	","
3-l",Keuze uit:
,"
	0.99
	","
3-l",In handige meeneemverpakking. 6 stuks.
,"
	2.19
	","
0,75-l", Met 75% vruchtensap. Keuze uit cassis of aardbeien. 
,"
	0.79
	","
1.5-l","Keuze uit appel &amp; peer, citroen &amp; passievrucht en framboos &amp; bosbes. Zonder koolzuur. "
,"
	0.62
	","
1.5-l","Keuze uit lemon, cranberry en peach. "
,"
	0.99
	","
3-l",In handige meeneemverpakking. 6 stuks.
,"
	1.79
	","
6 x 0.5 l",In de smaken citoren en munt. Koolzuurvrij. 6 stuks.
,"
	6.91
	","
Per pak","De meest voorkomende klacht die er is, is dat de luiers doorlekken. Dit wordt vrijwel altijd veroorzaakt doordat een te grote maat is gekocht, met name bij maat 5. Dit komt doordat kinderen in bepaalde fasen meer bewegen of sneller groeien. Daardoor worden ze slanker en kan het nodig zijn om tijdelijk terug te gaan naar een kleinere maat."
,"
	6.15
	","
Per pak","De meest voorkomende klacht die er is, is dat de luiers doorlekken. Dit wordt vrijwel altijd veroorzaakt doordat een te grote maat is gekocht, met name bij maat 5. Dit komt doordat kinderen in bepaalde fasen meer bewegen of sneller groeien. Daardoor worden ze slanker en kan het nodig zijn om tijdelijk terug te gaan naar een kleinere maat."
,"
	5.99
	","
Per pak","De meest voorkomende klacht die er is, is dat de luiers doorlekken. Dit wordt vrijwel altijd veroorzaakt doordat een te grote maat is gekocht, met name bij maat 5. Dit komt doordat kinderen in bepaalde fasen meer bewegen of sneller groeien. Daardoor worden ze slanker en kan het nodig zijn om tijdelijk terug te gaan naar een kleinere maat."
,"
	6.39
	","
Per pak","De meest voorkomende klacht die er is, is dat de luiers doorlekken. Dit wordt vrijwel altijd veroorzaakt doordat een te grote maat is gekocht, met name bij maat 5. Dit komt doordat kinderen in bepaalde fasen meer bewegen of sneller groeien. Daardoor worden ze slanker en kan het nodig zijn om tijdelijk terug te gaan naar een kleinere maat."
,"
	6.79
	","
Per pak","De meest voorkomende klacht die er is, is dat de luiers doorlekken. Dit wordt vrijwel altijd veroorzaakt doordat een te grote maat is gekocht, met name bij maat 5. Dit komt doordat kinderen in bepaalde fasen meer bewegen of sneller groeien. Daardoor worden ze slanker en kan het nodig zijn om tijdelijk terug te gaan naar een kleinere maat."
,"
	4.99
	","
Per pak","De meest voorkomende klacht die er is, is dat de luiers doorlekken. Dit wordt vrijwel altijd veroorzaakt doordat een te grote maat is gekocht, met name bij maat 5. Dit komt doordat kinderen in bepaalde fasen meer bewegen of sneller groeien. Daardoor worden ze slanker en kan het nodig zijn om tijdelijk terug te gaan naar een kleinere maat."
,,"
150 ml",Keuze uit Africa en Dark Temptation.
,,"
250 ml",Keuze uit Apollo en Black.
