title,price,unit,description
,"
	1.79
	","
500 g",500 g.
,,"
342-478 g","Keuze uit kip tandoori, lasagne en burritos."
,"
	1.39
	","
196-241-g",Keuze uit lasagnette en lasagne.
,"
	0.99
	","
150-g",Keuze uit een winter- en zomer assortiment.
,"
	3.49
	","
450 g","Combinatie van groente- slamix, aardappels en kip met een perfecte caesar dressing."
,"
	2.59
	","
450 g","Pasta salade met kipfilet, gebakken spek, rode paprika en mais. Pasta salade met tonijn, ei, kalamata olijven, rode ui en verse kruiden."
,"
	1.99
	","
295-g","Boerensalade met ijsbergsla, paprika, Goudse kaas, rode ui en walnoten. "
,"
	1.99
	","
250-g","Italiaanse salade met mozzarella, zongedroogde tomaat en balsamico."
,"
	1.99
	","
285-g","Caesarsalade met ansjovis, ei, croutons, grana alanda kaas met een Caesardressing."
,,"
2 kg",2 kg.
,,"
kg-4 stuks",Blijderveen is een van de vaste telers voor Aldi en is al meer dan 100 jaar actief in de teelt van fruit.
,,"
225 g",In handige shakebeker.
,,"
1-kg",Blijderveen is een van de vaste telers voor Aldi en is al meer dan 100 jaar actief in de teelt van fruit.
,"
	2.29
	","
400-g","Al gewassen en gebroken, klaar om te koken, wokken of roerbakken."
,,"
Per krop",1 krop.
,"
	0.79
	","
500-g","Knapperig, fris en zoet van smaak. Lekker, zowel rauw als gekookt."
,"
	0.99
	","
400-g","Met zijn zoete, iets bittere smaak, heerlijk om te koken of roerbakken."
,"
	4.59
	","
500 g",500 g.
,"
	2.28
	","
220 g",2 stuks.
,"
	2.49
	","
250-300 g",Kipfiletschnitzel 250 g en Kipfilethaasjes 300 g.
,"
	5.00
	","
600 g",600 g.
,"
	3.99
	","
500 g",500 g.
,"
	7.50
	","
1 kg",5 stuks.
,"
	2.29
	","
2 x 126 g",2 stuks.
,"
	9.14
	","
1-kg",Keuze uit American en Western style.
,"
	2.55
	","
500 g",500 g.
,"
	6.00
	","
900 g",900 g.
,"
	3.09
	","
500 g",Ongekruid. Maximaal 15% vet.
,"
	0.83
	","
125-g",Gekookt.
,"
	3.69
	","
450 g",450 g.
,"
	3.35
	","
375 g",Tandori.
,"
	1.89
	","
280 g",2 stuks.
,"
	2.93
	","
400 g", 4 stuks. Met ham en kaas.
,"
	2.89
	","
500 g",500 g.
,"
	1.89
	","
275-g",Naturel.
,"
	5.50
	","
800 g ",8 x 100 g.
,"
	4.50
	","
5 x 125 g",5 stuks.
,"
	1.94
	","
2 x 110 g",2 stuks.
,"
	3.32
	","
350-g",350 g.
,"
	3.74
	","
0.75 l",Spanje
,"
	3.59
	","
400 g",4 stuks.
,"
	2.99
	","
0.75 l",Zuid-Afrika
,"
	3.99
	","
0.75 l","Deze alcoholvrije Sauvignon Blanc is lekker licht met tonen van onder andere groene appel, citroen en een hint van vers gemaaid gras."
,"
	4.79
	","
0.75 l",Portugal
,"
	2.49
	","
1-l-Per fles",Duitsland
,"
	4.39
	","
0.75 l",Chardonnay - Australië
,"
	4.39
	","
0,75 l",Sauvignon blanc / Chardonnay - Chili  
,"
	9.99
	","
3 l",Zuid-Afrika 
,"
	3.49
	","
0.75-l-Per fles",Frankrijk
,"
	2.49
	","
0.75-l-Per fles",Duitsland
,"
	3.69
	","
1-l-Per fles",Europa
,"
	3.49
	","
1-l-Per fles",Zuid-Afrika
,"
	3.99
	","
0.75-l","Goed Getest door De Grote Hamersma april 2019, 2020 en januari 2021."
,"
	3.99
	","
0.75 l",Best Getest door Hubrechtduijker.com april 2019 en mei 2018.
,"
	2.99
	","
0.75-l-Per fles",Australië - Chardonnay
,"
	3.99
	","
0.75 l",Chardonnay - Californië 
,"
	3.99
	","
0.75 l",Grüner Veltliner - Oostenrijk
,"
	4.29
	","
0.75 l","Viognier - Grenache, Frankrijk"
,"
	3.49
	","
0.75-l-Per fles",Spanje
,"
	3.29
	","
0.75 l",Sauvignon Blanc - Zuid-Afrika
,"
	1.39
	","
0.25-l-Per fles",Expressieve droge witte wijn. De smaak is levendig met een mix van citrusvruchten en tropisch fruit.
,"
	9.99
	","
3-l-Per fles",Chenin Blanc - Zuid-Afrika 
,"
	3.49
	","
1-l-Per fles",Frankrijk
,"
	2.99
	","
0.75 l ",Spanje 
,"
	2.99
	","
0.75 l",Chenin Blanc - Zuid- Afrika
,"
	3.99
	","
0.75 l",Spanje
,"
	3.89
	","
0.75 l",Chardonnay - Chili
,"
	3.29
	","
0,75 l",Pinot Grigio - Venetië - Italië
,"
	3.29
	","
0.75 l",Sauvignon Blanc - Chili
,"
	5.99
	","
0.75-l-Per fles",Frankrijk
,"
	1.99
	","
0,75 l","Dominant in centraal Spanje (Valdepenas, La Mancha). Hier heeft de druif zich perfect aangepast aan de droogte en extreem arme bodem. Koel vergist in roestvrijstalen tanks geeft Airén aangename, lichtvoetige wijnen met een relatief laag zuurgehalte voor ongecompliceerd drinkplezier. Alcohol: 11.5% Vol."
,"
	6.99
	","
0.75 l ",Spanje
,"
	5.99
	","
0.75 l",Sauvignon blanc - Nieuw-Zeeland
,"
	3.49
	","
0.75-l-Per fles",Spanje
,"
	4.79
	","
0.75 l",Portugal
,"
	3.69
	","
1 l",Spanje
,"
	3.69
	","
0.75 l",Portugal
,"
	2.99
	","
0.75-l-Per fles",Italië
,"
	3.99
	","
0.75 l","Goed Getest door De Grote Hamersma april 2020, januari 2021 en Koopje volgens Perswijn magazine december 2018."
,"
	3.99
	","
0.75 l",Italië - Negroamaro
,"
	5.99
	","
0.75 l",Italië - Puglia
,"
	4.29
	","
0.75 l",Cabernet Sauvignon / Syrah - Chili
,"
	3.99
	","
0.75 l",Frankrijk
,"
	3.99
	","
0.75-l-Per fles",Merlot carmenère - Chili
,"
	2.99
	","
0.75-l-Per fles",Pays d'Oc - Frankrijk
,"
	4.29
	","
0.75 l",Cabernet Sauvignon - Zuid-Afrika
,"
	3.99
	","
0.75 -l",Beau Rivage Cuveé Prestige - Frankrijk
,"
	3.99
	","
0.75 l",Languedoc - Frankrijk
,"
	3.99
	","
0.75-l",Tempranillo/Cabernet Sauvignon - Spanje
,"
	3.99
	","
0.75 l",Argentinië - Malbec
,"
	4.79
	","
0.75-l-Per fles","Goed Getest door De Grote Hamersma april 2020, januari 2021 en Best Getest door PLMA International Salute to Excellence Awards mei 2018."
,"
	2.99
	","
0.75 l",Cinsaut Pinotage -Zuid-Afrika
,"
	3.69
	","
0,75-l",Portugal  
,"
	3.79
	","
0.75 l",Cabernet Sauvignon - Chili
,"
	3.99
	","
0.75-l",Merlot - Zuid-Afrika
,"
	9.99
	","
3-l",Spanje.
,"
	2.49
	","
1-l-Per pak",Spanje - tempranillo
,"
	9.69
	","
3-l-Per pak",Merlot Carmenère - Chili
,"
	3.49
	","
0.75 l",Ruby Cabernet - Californië
,"
	9.69
	","
3-l-Per pak",Zuid-Afrika - Cinsaut Pinotage
,"
	2.99
	","
0.75-l-Per fles",Shiraz - Australië 
,"
	3.99
	","
1 l",Frankrijk
,"
	1.39
	","
0.25 l",Argentinië
,"
	2.99
	","
0.75-l-Per fles",Merlot - Chili
,"
	1.39
	","
25-cl-Per fles",Europa
,"
	3.74
	","
0.75 l",Duitsland.
,"
	3.49
	","
1-l-Per fles",Europa 
,"
	3.99
	","
0.75 l",Italië
,"
	3.85
	","
400-g","Voor ons biologishe gehakt krijgen de dieren zachte ligplaatsen binnen en kunnen ze extra veel naar buiten. Ervaar het zelf, bekijk de video. "
,"
	3.69
	","
500 g",500 g.
,"
	3.09
	","
500 g",Ongekruid. Maximaal 15% vet.
,"
	2.47
	","
300 g",300 g.
,"
	3.85
	","
300 g",Ongekruid. Maximaal 15% vet.
,"
	2.66
	","
650-g",Naturel.
,"
	2.29
	","
125-150-g",Keuze uit Grana Padano of Parmigiano Reggiano. Smaakvolle harde kaas voor over Italiaanse gerechten. 
,"
	1.89
	","
200 g",Pittige oude geraspte kaas.
,"
	1.69
	","
150 g","Voor ovenschotel: mix van Emmental, mozzarella en Edam. De kaasmix smelt goed en geeft een heerlijk bruin en knapperig korstje aan het gerecht. De perfecte kaas om mee te gratineren."
,"
	2.09
	","
250-g",Jong belegen. Minimaal 7 weken natuurgerijpt.
,"
	0.57
	","
100-g",Lichte smeerkaas 20+ met mosterd of ham.
,"
	0.57
	","
100-g",Romige volle smeerkaas 48+ met sambal of zwarte peper.
,"
	1.09
	","
200 g","Keuze uit bieslook light, naturel light en naturel."
,"
	3.09
	","
400 g","Naturel. Om te bakken, braden of grillen. 4 stuks."
,"
	2.99
	","
200-210 g",Keuze uit sunakku en shokuji.
,"
	3.99
	","
200 g",Keuze uit wokgarnalen in knoflookolie of Indian curry marinade. 
,"
	4.99
	","
250 g",Verse Noorse zalmfilets met huid. 250 gram.
,"
	4.99
	","
250 g",Verse Noorse gemarineerde zalmfilets met huid. 250 gram.
,"
	2.74
	","
Ca. 250 g",Naturel of peper. Op ambachtelijke wijze gerookt. 
,"
	4.49
	","
200 g","Best Getest door Telegraaf, september 2021."
,"
	3.29
	","
100 g",Gevangen in de Noordzee. Gekookt en gepeld.
,"
	0.75
	","
500-g-Per zak",Kruimig of vast.
,"
	0.99
	","
700-g",Voorgekookte aardappelen om te bakken of te frituren.
,"
	1.75
	","
450-g",Aardappelschijfjes in een heerlijk romige saus om af te bakken in de oven. Klaar in een handomdraai.
,"
	0.89
	","
700-g",Voorgebakken frites om te bakken of te frituren.
,,"
2-kg",2 kg.
,,"
5-kg",5 kilo.
,,"
1-kg",1 kg.
,,"
3-kg",3 kg.
,"
	1.49
	","
200 g",Best Getest door De Hippe Vegetariër.
,"
	1.59
	","
200 g",Keuze uit groenteburger en Oosterse schijf.
,"
	1.59
	","
200 g",<b>Vegan burger</b>
,"
	1.49
	","
200 g",Best Getest door De Hippe Vegetariër.
,"
	1.49
	","
175 g","Vega wokreepjes, lekker door de wok zonder vlees. Vegan gehakt, de perfecte basis voor pasta, roerbakgerechten of ovenschotels."
,"
	3.99
	","
0.75 l","Duitsland - Droge Riesling 2017, Hochgewächs, Pfalz"
,"
	0.69
	","
200-g",Naturel.
,"
	3.79
	","
200 g",Stuk 30+. Minimaal 24 maanden gerijpt. Lekker over pasta of door salade.
,"
	1.39
	","
100-g","Roomkaas van gepasteuriseerde melk. Keuze uit gerookte zalm, peper en kruidenrolletje."
,"
	4.25
	","
0.75 l","Goed Getest volgens De Grote Hamersma, maart 2021."
,"
	0.99
	","
200 g",Echte Franse roombrie 60+. Op traditionele wijze in taartvorm gerijpt en pas kort voor het verpakken verdeeld in klassieke briepunten.
,"
	2.49
	","
150-200 g","Keuze uit Franse kaas uit de Pays Basque, Vogezen, Chèvre Anjou en Pyrénées."
,"
	2.19
	","
2 x 100 g","2 x 6 geitenkaasschijfjes met honing. Lekker op een broodje, in de salade of gezellig bij de borrel."
,"
	1.94
	","
200 g","Ziltig, uitgesproken pittig en intens romig: voor de echte kaasliefhebber gaat er weinig boven een stukje blauwe kaas. Deze heerlijke schimmelkaas is niet te versmaden op een simpel toastje bij een glas wijn of rode port, maar doet het ook geweldig in de keuken, bijvoorbeeld over de pasta of pizza, gesmolten over een sappige steak, of in een salade met peer en walnoten. De mogelijkheden van deze veelzijdige kaas zijn eindeloos. Natuurlijk ligt deze bijzondere kaas ook in de schappen van ALDI. Zoals een Italiaanse gorgonzola of een zachte Deense blauwe kaas. Proef ze allebei. Voor de prijs hoeft niemand het te laten."
,"
	1.99
	","
375-g",Keuze uit saladeblokjes in olie met kruiden en in olie met olijven. 
,"
	1.99
	","
200 g"," Feta kaas is een Griekse kaassoort die behoort tot de familie van witte kazen. De kaas wordt gemaakt van schapenmelk, doorgaans aangevuld met geitenmelk. Feta kaas wordt gezouten en geconserveerd in een zoutoplossing gedurende een periode van minimaal twee maanden. De prikkelende zoutige smaak van feta kaas varieert van mild tot scherp. Deze kaassoort is erkend door de Europese Unie als een traditioneel Grieks product met Beschermde Oorsprongsbenaming (BOB). Alleen wanneer feta kaas in bepaalde delen van Griekenland wordt gemaakt, mag het feta genoemd worden. Nog nooit feta geproefd? Dan wordt het hoog tijd. Gelukkig verkoopt ALDI feta kaas tegen een aantrekkelijk lage prijs. "
,"
	0.69
	","
125-g","Milde en zachte smaak. Voor bij de maaltijd, door de salade of als tussendoortje. "
,"
	0.99
	","
125-g","Milde en zachte smaak. Voor bij de maaltijd, door de salade of als tussendoortje. "
,"
	2.99
	","
200 g",Lekker zacht van smaak.
,"
	2.19
	","
2 x 100 g","2 x 6 geitenkaasschijfjes naturel. Lekker op een broodje, in de salade of gezellig bij de borrel."
,,"
185-200 g","Keuze uit Original volle romige smaak, Light frisse romige smaak met minder vet en knoflook &amp; fijne kruiden."
,,"
200 g","Keuze uit Original en Lightlife.  8 plakken per verpakking. Gemaakt met melk uit de omgeving van Nederlandse kaasmakerijen, van koeien die in de wei grazen. Gevoerd zonder GMO. Lactosevrij en geschikt voor vegetariërs."
,"
	2.29
	","
175 g",Keuze uit belegen of oud.
,"
	2.49
	","
250-g",Kaasblokjes van Goudse 48+ kaas.
,"
	9.99
	","
ca. 1.7",Min. 4 weken gerijpt.
,"
	2.49
	","
200 g",200 g. 52-56 weken gerijpt. Ca. 6 plakken.
,"
	1.99
	","
225 g",Gouda Holland kaas 30+. Zonder kleurstof en conserveermiddelen. Ca. 7 plakken.  Extra belegen: minimaal 28 weken natuurgerijpt. Belegen: minimaal 16 weken natuurgerijpt
,"
	2.39
	","
kg-300 g",Gouda Holland kaas 30+. Zonder kleurstof en conserveermiddelen. Ca. 9 plakken. Jong: minimaal 4 weken natuurgerijpt. Jong belegen: minimaal 7 weken natuurgerijpt.
,"
	2.25
	","
200-g-per pak",Jong. Minimaal 4 weken natuurgerijpt. Zachte en kruidige kaas met komijn of Toscaanse kruiden. Ca. 6 plakken.
,"
	3.99
	","
520-g",Goudse jonge kaas met komijn.
,"
	1.75
	","
200-g","Minder vet, smaakt net zo lekker. Belegen of extra belegen 30+ kaas."
,"
	1.99
	","
250-g-Per pak",Jong belegen of jong. Minimaal 4 weken natuurgerijpt.
,"
	1.89
	","
190-g",Ca. 6 plakken.
,"
	6.49
	","
950 g","Goudse jong belegen kaas, minimaal 7 weken natuurgerijpt."
,"
	4.49
	","
450-g","Goudse oude kaas, minimaal 52 weken natuurgerijpt."
,"
	4.69
	","
550-g","Goudse extra belegen kaas, minimaal 24 weken natuurgerijpt."
,"
	4.69
	","
600 g","Goudse belegen kaas, minimaal 15 weken natuurgerijpt. 600 g."
,"
	6.39
	","
980 g","Goudse jonge kaas, minimaal 4 weken natuurgerijpt."
,"
	1.99
	","
190-g",Ca. 6 plakken.
,"
	3.39
	","
400-g",Minimaal 7 weken natuurgerijpt. ca 12 plakken.
,"
	3.19
	","
400-g",Gesneden. Ca. 12 plakken.
,"
	2.39
	","
250-g-Per pak",Gesneden. Ca. 8 plakken.
,"
	3.49
	","
450 g","Nu met het On the way to PlanetProof keurmerk! Door te kiezen voor deze kaas, maak je een betere keuze voor natuur, klimaat én dier. En dat proef je!"
,"
	2.59
	","
200-g",Pittige oude Hollandse Gouda kaasplakken 48+.
,"
	2.29
	","
200 g",Volle en romige Hollandse Gouda kaasplakken 48+.
,"
	1.69
	","
125 g",Op beukenhout gerookte kipfilet.
,"
	1.19
	","
150-g",De gekookte Gelderse worst en grillworst smaken heerlijk op brood. Het grillrandje geeft de grillworst een fraaie uitstraling en een uitgesproken smaak.
,"
	0.83
	","
125-g",Gekookt.
,"
	0.35
	","
150-g",Heerlijk romig en smeuïg.
,"
	1.09
	","
150 g","Keuze uit peper, room en cranberry. Heerlijk op brood, maar ook lekker op toast of bij de borrel en daarnaast heerlijk door salades."
,"
	0.89
	","
500-g",Heerlijk smeuïg en lekker op brood.
,"
	1.39
	","
150 g","Gesneden ontbijtspek, heerlijk meegebakken onder een eitje."
,"
	2.29
	","
80-g",Houtgerookt en ovengebakken ontbijtspek.
,"
	2.19
	","
100-g",Sappig en rosé gebraden.
,"
	2.79
	","
123 g","Met parmigiano reggiano kaas, dressing en pijnboompitjes."
,"
	1.59
	","
150-g",Lichtgezouten en gerookt.
,"
	1.69
	","
150-g",Gesneden plakjes katenspek om koud te consumeren.
,"
	1.49
	","
150-g",Lekker op de boterham.
,"
	1.59
	","
150-g",Met uitjes of peper
,"
	2.19
	","
250 g","Ambachtelijke varkensgrillworst, mild gekruid."
,"
	0.89
	","
150 g","Licht gekruid gebraden gehakt, heerlijk rijk en verfijnd."
,"
	0.99
	","
150-g",Parijzer boterhamworst.
,"
	0.79
	","
150-g",Lekker voor op de boterham.
,"
	0.99
	","
150-g",De Ardenner boterhamworst smaakt lekker op een boterham.
,"
	1.59
	","
150 g",Sappig en smaakvol.
,"
	1.49
	","
125-g",Geschikt op brood bij het ontbijt of tijdens de lunch.
,"
	1.79
	","
100-g",Luchtgerijpte ham uit Spanje.
,"
	1.89
	","
150-g",Malse en smaakvolle beenham uit de mooiste delen van de ham.
,"
	1.69
	","
150 g","Malse yorkham, in eigen bouillon gekookt."
,"
	1.09
	","
150-g","Gerookte schouderham, op authentieke wijze gegaard."
,"
	1.19
	","
80 g",Keuze uit luchtgedroogd of mild gerookt.
,"
	1.99
	","
150-g",Gerookte rauwe ham.
,"
	2.23
	","
150 g",Slechts 3% vet.
,"
	1.72
	","
150 g",Boerenham: luchtgedroogde rauwe ham.
,"
	1.89
	","
100 g",Roomkaas gewikkeld in een plakje salami.
,"
	2.29
	","
175 g",Keuze uit belegen of oud.
,"
	1.69
	","
200-g",Kruidendip met frisse roomkaas.
,"
	0.92
	","
190 g",Keuze uit genovese en rosso.
,"
	0.69
	","
200-g",Bevat 30% vet.
,"
	0.99
	","
180-g","Magere kwarkbereiding met toegevoegde eiwitten. Keuze uit de smaken framboos, aardbei, perzik &amp; passie."
,"
	0.99
	","
270-g",Keuze van vanilleyoghurt of aardbei met chocobolletjes.
,"
	0.75
	","
175-g","157 g yoghurt met 18 g crisps. Keuze uit bananenyoghurt met 10% gechocolateerde granen, vanille yoghurt met 10% gechocolateerde granen, gezoete yoghurt met 10% mueslibereiding."
,"
	1.49
	","
600-g-Per pak"," 2 x banaan, 2 x abrikoos en 2 x aardbei."
,"
	1.66
	","
6 x 117 -ml-per pak"," Keuze uit aardbei, vanille, framboos en naturel. Vitamine B6 en D ondersteunen de normale functie van het immuunsysteem."
,"
	0.99
	","
1 l"," 0% vet en geen suiker toegevoegd, 2% vruchtensap."
,"
	1.29
	","
500-g","Lactosevrij. Keuze uit naturel, bosbessen en vanille."
,"
	0.89
	","
750 ml","Keuze uit exotic, aardbei en perzik-passievrucht."
,"
	0.49
	","
250-ml","Keuze uit mild, medium roast, minder zoet en strong roast. "
,"
	0.29
	","
150 g","Heerlijk romig. Keuze uit perzik &amp; passievrucht, framboos, bosvruchten en aardbei."
,"
	0.99
	","
1 l","Best Getest volgens de Telegraaf, mei 2021."
,"
	1.09
	","
500-g","Bevat slechts 0.1% vet. Aardbei, vanille, citroen, perzik of sinaasappel."
,"
	1.29
	","
450-g",Keuze ui:
,"
	1.25
	","
500-g",Keuze uit:
,"
	1.13
	","
500 g",Skyr is de eiwitrijke yoghurt IJslandse stijl. 0% vet en toch lekker romig van smaak.
,"
	1.33
	","
600-g","Volle romige yoghurt in de smaken aardbei, braam of honing. 4 x 150 g."
,"
	1.19
	","
500-g",Bevat 0% vet.
,"
	0.49
	","
500-g",Halfvolle roeryoghurt naturel smaakt heerlijk mild en zacht. Lekker om te combineren met bijvoorbeeld fruit of ontbijtgranen of om zo van te genieten.
,"
	1.79
	","
1 kg",Griekse stijl yoghurt is een lekkere volle en romige yoghurt. Lekker stevig van structuur met een milde zachte smaak
,"
	0.95
	","
1-l",Gemaakt van weidemelk.
,"
	1.49
	","
4 stuks","Lekkere smaakvolle bollen, gevuld met rozijnen. Voor mensen met reuze trek!"
,"
	1.29
	","
6 stuks",Boordevol rozijnen en krenten die er samen met de zachte broodstructuur voor zorgen dat dit het snoepje onder de broodsoorten is.
,"
	1.49
	","
9 stuks","De klassieke mini roomboterrozijnenbol, nu in volkoren variant."
,"
	0.89
	","
8 x 35 g",Gezond eten met je favoriete personages.
,"
	0.99
	","
10 stuks ",Zachte bruine bollen op basis van 50% volkorenmeel. Altijd lekker en makkelijk in het weekend of onderweg.
,"
	0.99
	","
10 stuks","Zachte witte bollen, altijd lekker en makkelijk voor in het weekend of onderweg."
,"
	0.79
	","
6 stuks","Zachte witte bollen, altijd lekker en makkelijk voor in het weekend of onderweg."
,"
	1.29
	","
6 stuks ","Donkere meergranen puntbroodjes, bereid met tarwe, gerst, gierst en haver. Vol zonnepitten en lijnzaad."
,"
	0.95
	","
6 stuks","Zachte puntjes, gebakken van 100% volkorenmeel, Gezond en makkelijk."
,"
	1.79
	","
Heel","Heerlijk robuust meergranen vloerbrood, bereid met tarwe, gerst en gierst. Vol zonnebloempitten en lijnzaad."
,"
	1.79
	","
Heel",Licht vloerbrood gevuld met zonnebloempitten en lijnzaad.
,"
	1.89
	","
Heel ",Voor de bewuste genieter. 100% volkorenbrood met 30% minder zout en 30% meer vezels dan een gewoon volkorenbrood.
,"
	1.79
	","
Heel ",Een overheerlijk zacht brood gebakken met zongerijpte gepofte mais en smaakvolle zonnebloempitten. Voor het bakken is een laagje maisgries op het deeg aangebracht waardoor het brood een stevige afbeet krijgt.
,"
	1.09
	","
Heel","Zeer gezond en voedzaam brood, gebakken van 100% volkorenmeel en voorzien van de karakteristieke krokante tijgerkorst."
,"
	0.99
	","
Heel ","Heerlijk zacht witbrood, met de karakteristieke krokante korst."
,"
	1.09
	","
Heel ","Heerlijk mals oud-Hollands bruinbrood met een zachte kruim, in boerenmodel gebakken."
,"
	0.99
	","
Half ",Dit brood is bereid met 100% volkorenmeel en zit boordevol granen en zaden.
,"
	0.95
	","
Half","Half boeren meergranenbrood, bereid met tarwe, gerst en gierst. Vol zonnepitten en lijnzaad."
,"
	0.99
	","
Heel","Heel volkorenbrood van 100% volkorenmeel, in busmodel gebakken."
,"
	0.80
	","
Heel ","Heerlijk mals oud-Hollands bruinbrood met een zachte kruim, in busmodel gebakken."
,"
	1.59
	","
Heel",Grof volkorenbrood gebakken van 100% volkorenmeel. Met extra gebroken tarwekorrels en zonnebloempitten voor de grove structuur en stevige bite.
,"
	0.95
	","
Half ",Voor de bewuste genieter. 100% volkorenbrood met 30% minder zout en 30% meer vezels dan een gewoon volkorenbrood.
,"
	1.59
	","
Heel ",Dit brood is bereid met 100% volkorenmeel en zit boordevol granen en zaden.
,"
	0.80
	","
Heel","Heel witbrood met een heerlijke zachte kruim, in een busmodel gebakken."
,"
	0.80
	","
400 g","Onmisbaar bij de borrel, BBQ of soep. Lekker met salades, kruidenboter of tapenade."
,"
	0.65
	","
Per stuk","Krokant roomboter bladerdeeg, gevuld met appels en rozijnen, bestrooid met suiker. Verkrijgbaar in winkels met bakkerij-afdeling. <a class=""link link--standard"" href=""/service/winkels-en-openingstijden.html"">Zoek de winkel bij jou in de buurt.</a>"
,"
	8.99
	","
3 l",Pinotage Colombard - Zuid-Afrika
,"
	2.99
	","
0.75 l",Australië
,"
	3.49
	","
0.75 l",Italië
,"
	1.99
	","
0.75 l",Spanje
,"
	4.99
	","
0.75 l",Frankrijk
,"
	4.99
	","
0.75 l",Italië
,"
	2.19
	","
200-g",Volle en romige Hollandse Gouda kaasplakken 48+..
,"
	2.99
	","
0.75 l",Merlot - Frankrijk
,"
	3.49
	","
1 l",Spanje/Zuid-Afrika
,"
	5.99
	","
0.75 l",Frankrijk
,"
	2.99
	","
0.75 l",Pinotage Colombard - Zuid-Afrika
,"
	1.99
	","
150 g","Keuze uit zongedroogde tomaat, Sweet peppers en Yellow peppers. "
,"
	1.09
	","
200 g",Keuze uit pikant en naturel.
,"
	1.39
	","
150 g","Keuze uit de varianten tomaten, zoete peper en groene olijven. "
,"
	1.09
	","
200 g",Keuze uit hummus pikant en zongedroogde tomaat.
,"
	0.99
	","
200 g",Aioli met verse knoflook.
,"
	1.39
	","
Half ",Het koolhydraat gehalte van dit meergranenbrood is maar liefst 60% lager dan regulier meergranenbrood en past hierom prima in een koolhydraatverlaagd dieet.
,"
	1.79
	","
500 g",500 g.
,"
	1.79
	","
150-g",Keuze uit melkchocolade met karamel-zeezout en karamel-stukjes.
,"
	0.87
	","
Per pak",Keuze uit kamille en sensitive.
,"
	1.99
	","
Per pak",3 x 100 vel.
,"
	2.29
	","
Per pak",Solo premium Extra Sterk &amp; Super Absorberend keukenpapier.
,"
	3.65
	","
640-g",Met Edammer en mozzarella. 2 stuks.
,,"
1.2 kg",Keuze uit Classic selectie in saus of Vis selectie in gelei. 12 x 100 g.
,"
	2.09
	","
360-g","Ham, salami of Margherita. 12 stuks."
,"
	2.99
	","
595-g",Een pikante vleessnack. 7 stuks.
,"
	2.79
	","
680-g-Per pak",Rundvlees bitterballen. 34 stuks.
,"
	1.99
	","
480-g",6 stuks.
,"
	0.58
	","
2 stuks",2 x 120 g.
,"
	1.99
	","
480-g",Heerlijke rijk gevulde Aziatische mini snack. 
,"
	3.29
	","
8 x 80 g",Een kruidige frikandel in een krokant jasje. 8 stuks.  
,"
	0.58
	","
2 stuks",2 x 120 g.
,"
	0.99
	","
360-g",6 stuks.
,"
	1.99
	","
500 g",Heerlijk krokant en met 100% Hollandse kip. Ca. 25 stuks.
,"
	2.29
	","
564-g-Per pak",Heerlijke rijk gevulde Aziatische mini snack. 
,"
	1.99
	","
840 g",12 stuks.
,"
	1.69
	","
400 g","Keuze uit kipsaté, goulash en kalfsvlees kroketten. "
,"
	1.49
	","
350-g",5 stuks.
,"
	2.49
	","
16 stuks",Mini snacks voor in de oven.
,,"
320 g","De Dr. Oetker pizza Ristorante Salami smaakt als de echte Italiaanse pizza: een heerlijk dunne bodem, krokant gebakken en belegd met tomatensaus, salami en kaas. De diepvriespizza’s van Dr. Oetker zijn ideaal voor wanneer je geen tijd of zin hebt om te koken. Even thuis afbakken in de oven en smullen maar. Handig om altijd in de vriezer te hebben dus. ALDI heeft verschillende Dr. Oetker pizza’s in het assortiment. Zoals de Dr. Oetker pizza met tonijn, of met mozzarella. Dr. Oetker pizza en onze andere pizza’s zijn voordelig geprijsd, zoals onze klanten gewend zijn bij ALDI.                                                                         "
,"
	1.33
	","
500-g",4 stuks.
,"
	1.33
	","
500-g",4 stuks.
,"
	2.99
	","
2x350-g-Per pak","Met edammer, salami, ham en champignons. 2-pak."
,"
	2.37
	","
455-g",Met gebraden kip en Amerikaanse barbecuesaus.
,"
	1.99
	","
460-g",Tropische combinatie van ananas en ham.
,"
	2.99
	","
680-g","Keuze uit funghi en quattro formaggi met een krokante dunne bodem, net zoals bij de Italiaan! Verpakt per 2 stuks."
,"
	2.99
	","
710 g",2 ovenheerlijke pizza's tonijn. 
,"
	2.75
	","
670 g",2 ovenheerlijke pizza's mozzarella. 
,"
	1.67
	","
1-kg",Voorgebakken in zonnebloemolie.
,"
	3.99
	","
500-g",3-4 stuks.
,"
	6.79
	","
400-g",400 g. Keuze uit mild of pittig gekruid.
,"
	3.99
	","
400-g","Kipshoarma of kipgyros, kant &amp; klaar in 7 minuten."
,"
	2.99
	","
500 g","In de varianten beefburger, cevapcici en chickenburger."
,"
	1.49
	","
160-g",In milde pindasaus. 
,"
	2.99
	","
200-235 g","Keuze uit geruld gehakt, kipreepjes, roerbakreepjes of spekreepjes."
,"
	1.19
	","
160-g",In milde pindasaus.
,"
	2.99
	","
252-290 g",Keuze uit vegan bitterballen (9 stuks) of kroketten (3 stuks).
,,"
360-g",<b>Vissticks</b>
,"
	2.49
	","
750-g",Keuze uit hot of mild. 12 stuks. 
,"
	2.34
	","
250 g","Twee graatloze filets. Wild gevangen, zonder huid."
,"
	2.59
	","
400-nullg","Keuze uit bordelaise, Italiano en broccoli."
